Date,Plat_ID,Platform,Product_State,Product_Title,Original_Price,Discount_Price,Product_Link
2024-05-04,001,sasa,現有現貨,【網店限定】The History Of Whoo 天氣丹華炫黃金精華面膜 1片裝,170.0,55.0,https://www.sasa.com.hk/SalePage/Index/351009
2024-05-04,001,sasa,現有現貨,Kose Cosmeport 速效卸妝油 230毫升,48.0,38.0,https://www.sasa.com.hk/SalePage/Index/329294
2024-05-04,001,sasa,現有現貨,Innisfree 綠茶保濕氨基酸潔面膏 150克,80.0,53.0,https://www.sasa.com.hk/SalePage/Index/314155
2024-05-04,001,sasa,現有現貨,VT 積雪草晚間睡眠修復面膜 30包裝,256.0,75.0,https://www.sasa.com.hk/SalePage/Index/6808
2024-05-04,001,sasa,現有現貨,Lancome 升級版嫩肌活膚精華 (小黑瓶) 115毫升,1850.0,799.0,https://www.sasa.com.hk/SalePage/Index/334160
2024-05-04,001,sasa,現有現貨,La Prairie 魚子精華眼部緊緻啫喱 15毫升,1780.0,748.0,https://www.sasa.com.hk/SalePage/Index/6495
2024-05-04,001,sasa,現有現貨,La Mer (海藍之謎) 精華面霜 100毫升,4660.0,1880.0,https://www.sasa.com.hk/SalePage/Index/334162
2024-05-04,001,sasa,現有現貨,La Mer 極緻濃縮再生精華 50毫升,4630.0,1788.0,https://www.sasa.com.hk/SalePage/Index/328802
2024-05-04,001,sasa,現有現貨,Estee Lauder 新生活膚彈活輕盈面霜 15毫升 (無盒裝),275.0,98.0,https://www.sasa.com.hk/SalePage/Index/281040
2024-05-04,001,sasa,現有現貨,Estee Lauder 全新升級再生基因修復亮眼精萃 15毫升,720.0,368.0,https://www.sasa.com.hk/SalePage/Index/246368
2024-05-04,001,sasa,現有現貨,Clé de Peau 鉑鑽柔膚潔面泡沫 125毫升,480.0,245.0,https://www.sasa.com.hk/SalePage/Index/216901
2024-05-04,001,sasa,現有現貨,Kiehl’s 金盞花植物精華爽膚水 250亳升,385.0,178.0,https://www.sasa.com.hk/SalePage/Index/8709
2024-05-04,001,sasa,現有現貨,Sulwhasoo 禦時緊顏參養煥白精華 8毫升,290.0,58.0,https://www.sasa.com.hk/SalePage/Index/309492
2024-05-04,001,sasa,現有現貨,LANEIGE 水亮補濕睡眠面膜 EX 70毫升,225.0,93.0,https://www.sasa.com.hk/SalePage/Index/209111
2024-05-04,001,sasa,現有現貨,Kiehl’s 金盞花深層潔面泡沫 230毫升,320.0,176.0,https://www.sasa.com.hk/SalePage/Index/6804
2024-05-04,001,sasa,現有現貨,DHC 橄欖護唇膏 1.5克,75.0,33.0,https://www.sasa.com.hk/SalePage/Index/329328
2024-05-04,001,sasa,現有現貨,Lancome 柔顏爽膚水 (適合乾性肌膚) (試用裝) 50毫升,60.0,40.0,https://www.sasa.com.hk/SalePage/Index/7654
2024-05-04,001,sasa,現有現貨,SK-II 護膚面膜 (10片裝),1080.0,599.0,https://www.sasa.com.hk/SalePage/Index/6783
2024-05-04,001,sasa,現有現貨,ELTA MD 氨基酸泡沫潔面乳 207毫升,228.0,135.0,https://www.sasa.com.hk/SalePage/Index/6557
2024-05-04,001,sasa,現有現貨,Fancl 無添加納米卸粧液 120毫升 x 2件裝,338.0,175.0,https://www.sasa.com.hk/SalePage/Index/362128
2024-05-04,001,sasa,現有現貨,【網店限定】MVSK 24K金羊胎素再生活膚霜 50毫升,763.0,229.0,https://www.sasa.com.hk/SalePage/Index/230189
2024-05-04,001,sasa,現有現貨,Origins 活性炭深層清潔面膜 (黑鑽潔淨面膜) 75毫升,220.0,135.0,https://www.sasa.com.hk/SalePage/Index/205935
2024-05-04,001,sasa,現有現貨,Shu Uemura 全新升級 ultime8∞ 琥珀山茶花養膚潔顏油 50毫升,104.0,78.0,https://www.sasa.com.hk/SalePage/Index/370909
2024-05-04,001,sasa,現有現貨,【網店限定】The History Of Whoo 秘貼 循環面膜 1片裝,104.0,52.0,https://www.sasa.com.hk/SalePage/Index/370828
2024-05-04,001,sasa,現有現貨,Shu Uemura 全新升級 ultime8∞ 琥珀山茶花養膚潔顏油 450毫升,935.0,498.0,https://www.sasa.com.hk/SalePage/Index/364944
2024-05-04,001,sasa,現有現貨,Innisfree 綠茶籽透明質酸注水精華 80毫升,208.0,155.0,https://www.sasa.com.hk/SalePage/Index/363918
2024-05-04,001,sasa,現有現貨,Estee Lauder 升級再⽣基因修復精華 (小棕瓶) 50毫升,965.0,348.0,https://www.sasa.com.hk/SalePage/Index/334157
2024-05-04,001,sasa,現有現貨,Sulwhasoo 第6代潤燥再生精華 15毫升,180.0,78.0,https://www.sasa.com.hk/SalePage/Index/350524
2024-05-04,001,sasa,現有現貨,Kiehl’s 特效清爽保濕啫喱面霜 125毫升,610.0,345.0,https://www.sasa.com.hk/SalePage/Index/350008
2024-05-04,001,sasa,現有現貨,The Ordinary甘醇酸7%去角質爽膚水 240毫升,,110.0,https://www.sasa.com.hk/SalePage/Index/257186
2024-05-04,001,sasa,現有現貨,Clé de Peau 鉑鑽淨膚潔面泡沫 125毫升,480.0,245.0,https://www.sasa.com.hk/SalePage/Index/215606
2024-05-04,001,sasa,現有現貨,Melvita 有機大馬士革玫瑰花水 200毫升,280.0,110.0,https://www.sasa.com.hk/SalePage/Index/103141
2024-05-04,001,sasa,現有現貨,Bobbi Brown 紓緩卸妝潔面油 200毫升,505.0,245.0,https://www.sasa.com.hk/SalePage/Index/385013
2024-05-04,001,sasa,現有現貨,Shiseido 第3代新升級皇牌免疫力精華 75毫升,1050.0,508.0,https://www.sasa.com.hk/SalePage/Index/293391
2024-05-04,001,sasa,現有現貨,VT 積雪草老虎隱形暗瘡貼 66貼裝,85.0,68.0,https://www.sasa.com.hk/SalePage/Index/258952
2024-05-04,001,sasa,現有現貨,Avene 抗敏活泉水 50毫升,50.0,28.0,https://www.sasa.com.hk/SalePage/Index/376717
2024-05-04,001,sasa,現有現貨,Tempo Mofusand 抽取式棉柔潔面巾 70片裝,,35.0,https://www.sasa.com.hk/SalePage/Index/367873
2024-05-04,001,sasa,現有現貨,Sulwhasoo 滋陰生人參煥顏面膜 1片裝,168.0,45.0,https://www.sasa.com.hk/SalePage/Index/293186
2024-05-04,001,sasa,現有現貨,Estee Lauder 櫻花微精華活膚原生液 30毫升,180.0,65.0,https://www.sasa.com.hk/SalePage/Index/381924
2024-05-04,001,sasa,現有現貨,The History Of Whoo 拱辰享活膚泡沫洗顏乳 180毫升,270.0,108.0,https://www.sasa.com.hk/SalePage/Index/330293
2024-05-04,001,sasa,現有現貨,Balea 7天維他命C美白亮膚精華膠囊 7粒裝,25.0,20.0,https://www.sasa.com.hk/SalePage/Index/278414
2024-05-04,001,sasa,現有現貨,【網店限定】Kiehl’s 金盞花深層潔面泡沫 30毫升,37.0,22.0,https://www.sasa.com.hk/SalePage/Index/208698
2024-05-04,001,sasa,現有現貨,Chanel 柔亮深層潔膚乳 150毫升,,425.0,https://www.sasa.com.hk/SalePage/Index/198849
2024-05-04,001,sasa,現有現貨,SK-II 皇牌保濕護膚旅行套裝 4件裝,644.0,338.0,https://www.sasa.com.hk/SalePage/Index/379898
2024-05-04,001,sasa,現有現貨,La Roche-Posay 抗敏全效修護乳 40毫升,305.0,138.0,https://www.sasa.com.hk/SalePage/Index/319876
2024-05-04,001,sasa,現有現貨,【網店限定】Shiseido 全效美白抗紋滋潤水乳套裝 2件裝,542.0,179.0,https://www.sasa.com.hk/SalePage/Index/315743
2024-05-04,001,sasa,現有現貨,Eaoron 美白黑面膜 25毫升× 5片裝,200.0,55.0,https://www.sasa.com.hk/SalePage/Index/373309
2024-05-04,001,sasa,現有現貨,Kiehl’s 男士全效保濕乳 125毫升,410.0,235.0,https://www.sasa.com.hk/SalePage/Index/368834
2024-05-04,001,sasa,現有現貨,Shiseido 第3代新升級 Ultimune Eye 皇牌免疫力精華眼霜 15毫升,550.0,320.0,https://www.sasa.com.hk/SalePage/Index/330964
2024-05-04,001,sasa,現有現貨,【網店限定】Innisfree 速效抗痘精華 50毫升,410.0,268.0,https://www.sasa.com.hk/SalePage/Index/330286
2024-05-04,001,sasa,現有現貨,【網店限定】Dr.BSC 8倍蠶絲玻尿酸潤滑保濕精華 (添加藍銅胜肽) 30毫升,364.0,149.0,https://www.sasa.com.hk/SalePage/Index/228956
2024-05-04,001,sasa,現有現貨,【網店限定】Clinique 卓越潤膚乳 125亳升,305.0,105.0,https://www.sasa.com.hk/SalePage/Index/8731
2024-05-04,001,sasa,現有現貨,Ajuste Clear Type 防曬噴霧 SPF50+ PA++++ 無香料 200克,98.0,84.0,https://www.sasa.com.hk/SalePage/Index/8673
2024-05-04,001,sasa,現有現貨,SK-II 嫩膚清瑩露 230毫升,710.0,400.0,https://www.sasa.com.hk/SalePage/Index/6503
2024-05-04,001,sasa,現有現貨,Kiehl’s 金盞花修復精華面霜 100亳升,670.0,440.0,https://www.sasa.com.hk/SalePage/Index/329048
2024-05-04,001,sasa,現有現貨,【網店限定】MVSK 24K金羊胎素再生眼部時空膠囊 21.6毫升,830.0,249.0,https://www.sasa.com.hk/SalePage/Index/328847
2024-05-04,001,sasa,現有現貨,Freeplus 溫和淨潤洗面乳 100克,137.0,116.5,https://www.sasa.com.hk/SalePage/Index/320654
2024-05-04,001,sasa,現有現貨,SNP 金絲燕窩深層保濕面膜 25毫升X 10片,234.0,59.0,https://www.sasa.com.hk/SalePage/Index/313559
2024-05-04,001,sasa,現有現貨,Lancome 溫和保濕水 400毫升,460.0,208.0,https://www.sasa.com.hk/SalePage/Index/313251
2024-05-04,001,sasa,現有現貨,Neogence 超爆水潤澤保濕面膜 5片裝,88.0,68.0,https://www.sasa.com.hk/SalePage/Index/289143
2024-05-04,001,sasa,現有現貨,The History Of Whoo 還幼凝顏本初肌底精華 15毫升,422.0,118.0,https://www.sasa.com.hk/SalePage/Index/286074
2024-05-04,001,sasa,現有現貨,【網店限定】Suisse Programme魚子緊緻面霜 30毫升 (無盒裝),1680.0,780.0,https://www.sasa.com.hk/SalePage/Index/225449
2024-05-04,001,sasa,現有現貨,【網店限定】Shiseido 賦活瞬效提拉眼膜,58.0,29.0,https://www.sasa.com.hk/SalePage/Index/210661
2024-05-04,001,sasa,現有現貨,Biore 晶凝光感防曬乳 70克,99.9,52.0,https://www.sasa.com.hk/SalePage/Index/198816
2024-05-04,001,sasa,現有現貨,Lancome 升級版嫩肌活膚精華 (小黑瓶) 7毫升,125.0,58.0,https://www.sasa.com.hk/SalePage/Index/11321
2024-05-04,001,sasa,現有現貨,Lancome 極緻完美玫瑰眼霜 20亳升,1210.0,570.0,https://www.sasa.com.hk/SalePage/Index/9892
2024-05-04,001,sasa,現有現貨,Sulwhasoo 第6代潤燥再生精華 90毫升,840.0,508.0,https://www.sasa.com.hk/SalePage/Index/376094
